Date,Type,AAPL,GOOGL,MSFT
2025-01-27,Close,229.30685424804688,191.35769653320312,432.8956604003906
2025-01-27,High,231.59133678218907,196.41574843517762,433.5332238334213
2025-01-27,Low,223.44099929694335,190.2802414199516,421.8780219291722
2025-01-27,Open,223.4809115633434,191.956287781501,422.3860783898249
2025-01-27,Volume,94863400.0,41728900.0,35647800.0
2025-01-28,Close,237.68663024902344,194.83946228027344,445.4872741699219
2025-01-28,High,239.61199368769647,195.01903051179218,446.66274757404807
2025-01-28,Low,230.25456145518996,190.23034644146827,429.72785612913765
2025-01-28,Open,230.2944737209622,192.2954724407757,432.93552501884864
2025-01-28,Volume,75707600.0,24157900.0,23491700.0
2025-01-29,Close,238.7839813232422,194.94920349121094,440.6358947753906
2025-01-29,High,239.28277807440017,196.32593893457488,445.16848684550723
2025-01-29,Low,233.446849997024,192.97386160771165,438.7132938317083
2025-01-29,Open,233.55658589116152,195.09884368413952,444.97921209968376
2025-01-29,Volume,45486100.0,18218300.0,23581400.0
2025-01-30,Close,237.0182342529297,200.39633178710938,413.4006042480469
2025-01-30,High,240.21053038482776,200.9250807979349,421.24045777086803
2025-01-30,Low,236.63915907674937,197.20388062095304,411.57762641112805
2025-01-30,Open,238.09563705158317,197.53310428817028,417.1661258658952
2025-01-30,Volume,55658300.0,24354700.0,54586300.0
2025-01-31,Close,235.4320831298828,203.5388946533203,413.4703674316406
2025-01-31,High,246.59515764263173,204.99544323065024,419.078810069406
2025-01-31,Low,232.87824601959832,201.3241285268208,413.32094799383236
2025-01-31,Open,246.59515764263173,201.52365385241038,417.37536767699305
2025-01-31,Volume,101075100.0,32042000.0,34223400.0
2025-02-03,Close,227.46128845214844,200.75546264648438,409.3462219238281
2025-02-03,High,231.27210292869276,203.26952433872827,413.819015846871
2025-02-03,Low,225.1568499027089,199.62813772190552,407.09486781879804
2025-02-03,Open,229.4365345420127,200.2167427524067,410.02361028085903
2025-02-03,Volume,73063300.0,27838300.0,25679100.0
2025-02-04,Close,232.23977661132812,205.89334106445312,410.7906494140625
2025-02-04,High,232.5689843025687,206.5617593135444,412.3347312724244
2025-02-04,Low,226.10456727432145,202.33175215943618,408.1707172498281
2025-02-04,Open,226.70312948058964,202.91038629062132,411.1094311345796
2025-02-04,Volume,45067300.0,43856400.0,20532100.0
2025-02-05,Close,231.91058349609375,190.8788299560547,411.7071533203125
2025-02-05,High,232.11009917003332,192.29547965256887,412.2450632912695
2025-02-05,Low,227.7206934550818,187.58660858281107,408.82820710975375
2025-02-05,Open,227.98006230899622,190.61944853764197,410.7707509847515
2025-02-05,Volume,39620300.0,70373900.0,16316700.0
2025-02-06,Close,232.6587677001953,191.148193359375,414.2274475097656
2025-02-06,High,233.23737378273856,191.64701430736628,416.59833715024297
2025-02-06,Low,229.875473186273,188.274979827647,412.41441067873023
2025-02-06,Open,230.7334042435517,189.05313928868878,412.41441067873023
2025-02-06,Volume,29925300.0,29297400.0,16309800.0
2025-02-07,Close,227.08221435546875,184.90293884277344,408.1806945800781
2025-02-07,High,233.43688010961284,190.7291636568626,417.0466023053385
2025-02-07,Low,226.71309440770742,182.80790006860101,406.5370200109021
2025-02-07,Open,232.04025529180169,190.59948056645624,414.8849302333569
2025-02-07,Volume,39707200.0,49315000.0,22886800.0
2025-02-10,Close,227.3518524169922,186.03028869628906,410.6412353515625
2025-02-10,High,230.2880044885276,187.75620494303442,413.8688167120759
2025-02-10,Low,226.90244480659103,185.42172652057317,409.34622639599064
2025-02-10,Open,229.26935130196645,186.90821845084508,412.1255190561223
2025-02-10,Volume,33115600.0,23105600.0,20817900.0
2025-02-11,Close,232.3153533935547,184.8830108642578,409.8642272949219
2025-02-11,High,234.92193591818142,186.49918592908514,410.9101937368833
2025-02-11,Low,227.83124330015124,183.84545472617006,407.7324086942097
2025-02-11,Open,227.90114370319637,184.59368617808016,408.0711332799312
2025-02-11,Volume,53718400.0,21239500.0,18140600.0
2025-02-12,Close,236.55978393554688,183.17701721191406,407.4734191894531
2025-02-12,High,236.64967765066982,184.67347995852103,409.17686151888216
2025-02-12,Low,230.377888084301,181.40121597043165,402.82129152637
2025-02-12,Open,230.89721134547665,182.78793750670852,405.65041091349894
2025-02-12,Volume,45243300.0,22072600.0,19121700.0
2025-02-13,Close,241.21368408203125,185.70106506347656,408.9676818847656
2025-02-13,High,242.02262084431055,185.84073432237415,409.425911619151
2025-02-13,Low,235.2614980047627,182.70813932469304,404.80366775695455
2025-02-13,Open,236.5997394445533,183.8853646978078,405.4412312140984
2025-02-13,Volume,53614100.0,21402500.0,23891700.0
2025-02-14,Close,244.2796630859375,184.79319763183594,406.86572265625
2025-02-14,High,245.22841586050225,185.96043678235034,407.3438952203064
2025-02-14,Low,240.67439035154717,183.88535510775145,404.3255012113121
2025-02-14,Open,240.93404435379279,184.62360034222002,406.22818963820515
2025-02-14,Volume,40896200.0,20448400.0,22758500.0
2025-02-18,Close,244.14984130859375,183.33665466308594,408.0711364746094
2025-02-18,High,244.85890295305822,185.52149284111707,409.0274512633779
2025-02-18,Low,241.52328070167576,181.31144284116834,404.94314775203674
2025-02-18,Open,243.83025306858283,185.16234115126528,406.4374029097933
2025-02-18,Volume,48822500.0,29916700.0,21423100.0
2025-02-19,Close,244.54930114746094,184.83311462402344,413.18145751953125
2025-02-19,High,245.68780753699892,185.02266901610753,413.8987012007662
2025-02-19,Low,242.84154918255663,183.1570683565281,406.0887313388178
2025-02-19,Open,244.33958470767533,183.63594741741645,406.31786140389937
2025-02-19,Volume,32204200.0,19549400.0,24114200.0
